gap_kj_mol,mean_free_energy_kj_mol,std_free_energy_kj_mol
-49833.33333333333,,
-49500.0,,
-49166.66666666667,,
-48833.33333333333,,
-48500.0,,
-48166.66666666667,,
-47833.33333333333,,
-47500.0,,
-47166.66666666667,,
-46833.33333333333,,
-46500.0,,
-46166.66666666667,0.0,0.4664147069857153
-45833.33333333333,0.17972704224121916,
-45500.0,0.26074676077618264,
-45166.66666666667,,
-44833.33333333333,2.2995151291095652,
-44500.0,2.119921029230058,
-44166.66666666667,2.5807547459718574,
-43833.33333333333,3.0320196673200552,
-43500.0,3.473779587983195,
-43166.66666666667,3.9774566134583065,0.8000217048624721
-42833.33333333333,,
-42500.0,,
-42166.66666666667,5.147162871915475,
-41833.333333333336,4.126484522171664,2.887678908167912
-41500.0,2.7823705962077243,2.8856499828555617
-41166.66666666667,5.751647056749727,1.6610555898723516
-40833.333333333336,3.9341818391246637,
-40500.0,4.242228619592324,0.07302583377701148
-40166.66666666667,4.646252652953351,2.99079026562328
-39833.333333333336,4.184300903610832,1.2473923128344504
-39500.0,5.738543533547781,2.4908217926619316
-39166.66666666667,4.725202070436654,2.156058136525015
-38833.333333333336,5.507513303792377,0.959721127277075
-38500.0,4.377017173060006,1.4094541367908913
-38166.66666666667,4.822356336606572,0.6298727047978546
-37833.333333333336,6.446264632041268,2.138544052271758
-37500.0,5.537588300056822,0.399199112853787
-37166.66666666667,4.968855589815602,1.3518453918041407
-36833.333333333336,5.346509927585112,2.407125273086445
-36500.0,5.051759728142978,1.5483225312034299
-36166.66666666667,5.605266463850023,1.7239631589801383
-35833.333333333336,5.686417686482185,1.078356594748572
-35500.0,5.100314157340999,0.834285585242951
-35166.66666666667,5.116588638824736,0.7685038592460018
-34833.333333333336,4.835976656015444,0.13989146517527531
-34500.0,4.991504993787494,0.37466983603315285
-34166.66666666667,5.505856045597746,1.0044366934796793
-33833.333333333336,5.388742333930881,0.7436109504315765
-33500.0,5.358390052346133,0.33159111124542945
-33166.66666666667,5.106276145456899,0.3692232510258566
-32833.333333333336,5.9153361790014936,0.8655900402729024
-32500.0,5.347046698722376,0.23194592235124292
-32166.666666666668,5.36907524745848,0.3898198482947832
-31833.333333333336,5.385252874569882,0.8996026845034948
-31500.0,5.805897719820664,0.9728058695917408
-31166.666666666668,5.335822955651493,0.45323549737509783
-30833.333333333336,5.617160410469301,0.7404026584395197
-30500.0,5.79327440464525,0.6724762885274823
-30166.666666666668,6.052790533546044,1.1421261276711123
-29833.333333333336,5.805457051204743,0.8085611929568214
-29500.0,5.8824413715013355,1.0640808098458352
-29166.666666666668,6.0483096277167645,1.1412817169103717
-28833.333333333336,6.295728038803908,1.2945948402323157
-28500.0,6.539338265928226,1.9825725003573722
-28166.666666666668,6.294556668911728,1.6744675617516984
-27833.333333333336,6.602278098814123,1.2716376228256703
-27500.0,6.79405996993653,1.460928588337589
-27166.666666666668,7.149678066844157,2.0160840194823884
-26833.333333333336,6.440949821416623,1.5042792992198473
-26500.0,6.631645820674908,1.687202086897031
-26166.666666666668,7.019670076078949,2.18620890021478
-25833.333333333336,7.07840453917459,1.8555240464378004
-25500.0,7.196150813661838,1.9123946700831076
-25166.666666666668,7.824103263238676,2.1949510950735918
-24833.333333333336,7.550388511121138,1.410101615869513
-24500.0,7.843891893366976,2.0650692328165765
-24166.666666666668,7.904057296386908,1.6564881273193415
-23833.333333333336,8.550581501963691,2.007902718621511
-23500.0,8.687385420606923,2.1035577217674826
-23166.666666666668,9.512729259589445,2.261477537601885
-22833.333333333336,8.97095165177582,2.500792531979559
-22500.0,9.927385630766967,2.1033555133794954
-22166.666666666668,9.768192278554245,1.8790110980088628
-21833.333333333336,10.823448903252693,1.6502518768779277
-21500.0,10.681125585606239,2.6175633590964367
-21166.666666666668,11.653372739467754,1.8929719340726192
-20833.333333333336,12.180893840879527,3.051693741462372
-20500.0,11.471499247511977,2.756075322371664
-20166.666666666668,12.956635399478762,2.4763441588596993
-19833.333333333336,12.25864519225766,1.7625706718948715
-19500.0,13.875504353584567,2.454082395864606
-19166.666666666668,13.920385484402974,1.2216028205189038
-18833.333333333336,14.661270361316317,0.8243700410300959
-18500.0,15.49760689040725,0.4032564402573826
-18166.666666666668,15.184348995623754,2.999512003578556
-17833.333333333336,16.05661952288466,1.9949773266273065
-17500.0,15.364558954079198,0.4163440201119074
-17166.666666666668,17.32951812992765,
-16833.333333333336,17.262387999584753,
-16500.000000000004,15.457464787366208,
-16166.666666666668,14.204222389218122,1.6522476328367783
-15833.333333333336,14.66699604384014,
-15500.000000000004,,
-15166.666666666668,,
-14833.333333333336,,
-14500.000000000004,,
-14166.666666666668,,
-13833.333333333336,,
-13500.000000000004,,
-13166.666666666668,,
-12833.333333333336,,
-12500.000000000004,,
-12166.666666666668,,
-11833.333333333336,,
-11500.000000000004,,
-11166.666666666668,,
-10833.333333333336,,
-10500.000000000004,,
-10166.666666666668,,
-9833.333333333336,,
-9500.000000000004,,
-9166.666666666668,,
-8833.333333333336,,
-8500.000000000004,,
-8166.666666666668,,
-7833.333333333336,,
-7500.000000000004,,
-7166.666666666668,,
-6833.333333333336,,
-6500.000000000004,,
-6166.666666666668,,
-5833.333333333336,,
-5500.000000000004,,
-5166.666666666668,,
-4833.333333333336,,
-4500.000000000004,,
-4166.666666666668,,
-3833.3333333333358,,
-3500.0000000000036,,
-3166.666666666668,,
-2833.3333333333358,,
-2500.0000000000036,,
-2166.666666666668,,
-1833.3333333333358,,
-1500.0000000000036,,
-1166.6666666666679,,
-833.3333333333358,,
-500.00000000000364,,
-166.66666666666788,,
166.66666666666424,,
499.99999999999636,,
833.3333333333321,,
1166.6666666666642,,
1499.9999999999964,,
1833.3333333333321,,
2166.6666666666642,,
2499.9999999999964,,
2833.333333333332,,
3166.6666666666642,,
3499.9999999999964,,
3833.333333333332,,
4166.666666666664,,
4499.999999999996,,
4833.333333333332,,
5166.666666666664,,
5499.999999999996,,
5833.333333333332,,
6166.666666666664,,
6499.999999999996,,
6833.333333333332,,
7166.666666666664,,
7499.999999999996,,
7833.333333333332,,
8166.666666666664,,
8499.999999999996,,
8833.333333333332,,
9166.666666666664,,
9499.999999999996,,
9833.333333333332,,
10166.666666666664,,
10499.999999999996,,
10833.333333333332,,
11166.666666666664,,
11499.999999999996,,
11833.333333333332,,
12166.666666666664,,
12499.999999999996,,
12833.333333333332,,
13166.666666666664,,
13499.999999999996,,
13833.333333333332,,
14166.666666666664,,
14499.999999999996,,
14833.333333333328,,
15166.66666666666,,
15499.999999999993,,
15833.333333333328,,
16166.666666666664,,
16499.999999999993,,
16833.33333333333,,
17166.666666666664,,
17499.999999999993,,
17833.33333333333,,
18166.666666666664,,
18499.999999999993,,
18833.33333333333,,
19166.666666666664,,
19499.999999999993,,
19833.33333333333,,
20166.666666666664,,
20499.999999999993,,
20833.33333333333,,
21166.666666666664,,
21499.999999999993,,
21833.33333333333,,
22166.666666666664,,
22499.999999999993,,
22833.33333333333,,
23166.666666666664,,
23499.999999999993,,
23833.33333333333,,
24166.666666666664,,
24499.999999999993,,
24833.33333333333,,
25166.666666666664,,
25499.999999999993,,
25833.33333333333,,
26166.666666666664,,
26499.999999999993,,
26833.33333333333,,
27166.666666666664,,
27499.999999999993,,
27833.33333333333,,
28166.666666666664,,
28499.999999999993,,
28833.33333333333,,
29166.666666666664,,
29499.999999999993,,
29833.33333333333,,
30166.666666666664,,
30499.999999999993,,
30833.33333333333,,
31166.666666666664,,
31499.999999999993,,
31833.33333333333,,
32166.666666666664,,
32499.999999999993,,
32833.33333333333,,
33166.666666666664,,
33499.99999999999,,
33833.33333333333,,
34166.666666666664,,
34499.99999999999,,
34833.33333333333,,
35166.666666666664,,
35499.99999999999,,
35833.33333333333,,
36166.666666666664,,
36499.99999999999,,
36833.33333333333,,
37166.666666666664,,
37499.99999999999,,
37833.33333333333,,
38166.666666666664,,
38499.99999999999,,
38833.33333333333,,
39166.666666666664,,
39499.99999999999,,
39833.33333333333,,
40166.666666666664,,
40499.99999999999,,
40833.33333333333,,
41166.666666666664,,
41499.99999999999,,
41833.33333333333,,
42166.666666666664,,
42499.99999999999,,
42833.33333333333,,
43166.666666666664,,
43499.99999999999,,
43833.33333333333,,
44166.666666666664,,
44499.99999999999,,
44833.33333333333,,
45166.666666666664,,
45499.99999999999,,
45833.33333333333,,
46166.666666666664,,
46499.99999999999,,
46833.33333333333,,
47166.666666666664,,
47499.99999999999,,
47833.33333333333,,
48166.666666666664,,
48499.99999999999,,
48833.33333333333,,
49166.666666666664,,
49499.99999999999,,
49833.33333333333,,
