gap_kj_mol,free_energy_kj_mol,probability,counts
-59875.0,,0.0,0
-59625.0,,0.0,0
-59375.0,,0.0,0
-59125.0,,0.0,0
-58875.0,-3.549506372495717,0.033186677156350826,2
-58625.0,,0.0,0
-58375.0,-1.11748510687827,0.012517555359682988,1
-58125.0,-0.7743696820503434,0.010908850371639444,1
-57875.0,-2.1657912975929197,0.019056462235572218,2
-57625.0,,0.0,0
-57375.0,0.22148830242490725,0.007317927334572438,1
-57125.0,,0.0,0
-56875.0,-0.8712745651994513,0.01134099853716235,2
-56625.0,-1.5728105261285563,0.015024401150354465,3
-56375.0,-0.25709044016128857,0.008865728486085784,2
-56125.0,-3.0830101135023753,0.02752587558439138,7
-55875.0,-2.405045406833615,0.02097487136565437,6
-55625.0,-0.3880526807137379,0.009343649381445456,3
-55375.0,-0.10539184330153084,0.008342608634240882,3
-55125.0,-2.2746147263082204,0.019906263597826615,8
-54875.0,-0.273710931074552,0.00892500061846778,4
-54625.0,-0.5636577841553105,0.01002516434413432,5
-54375.0,-0.3022926733880631,0.009027857204088392,5
-54125.0,-0.8854584831732151,0.011405672198252254,7
-53875.0,-0.25007018151557503,0.008840811179974492,6
-53625.0,0.450390756809238,0.006676262640227053,5
-53375.0,0.6909165854162005,0.006062544843669317,5
-53125.0,-2.1261986407978526,0.018756366887239435,17
-52875.0,1.7132063076073294,0.004024037204381177,4
-52625.0,-0.5848314767330294,0.010110627173353539,11
-52375.0,-0.12688263211610362,0.008414797635504543,10
-52125.0,0.3511484123742932,0.006947246409061902,9
-51875.0,-0.7127450004628031,0.010642640302519995,15
-51625.0,0.2662584444517968,0.007187751777858146,11
-51375.0,0.7045016920743326,0.0060296156991613,10
-51125.0,-1.4831811163969189,0.014494111866465861,26
-50875.0,0.07973158085629883,0.0077458600950215855,15
-50625.0,-0.32372011815232327,0.0091057444503279,19
-50375.0,-0.6187748476909842,0.010249154659472176,23
-50125.0,-0.21498863130764612,0.008717340178644752,21
-49875.0,-0.8478009836505009,0.011234771932883697,29
-49625.0,-1.0023290701473062,0.011952794837860338,33
-49375.0,0.17233964638916888,0.0074635503474599985,22
-49125.0,-0.6033821323516921,0.010186101260137624,32
-48875.0,-1.3540519146181555,0.01376285887637506,46
-48625.0,-0.2194007593289662,0.008732773550433535,31
-48375.0,-0.8895566520990457,0.011424426984599985,43
-48125.0,-0.7476929066970612,0.01079280266232419,43
-47875.0,-0.7781429446260635,0.010925365011219658,46
-47625.0,-0.5335162175619725,0.009904749363827256,44
-47375.0,-0.7225772075596844,0.010684674348612904,50
-47125.0,-0.7419967119342683,0.01076818380830977,53
-46875.0,0.6386605482634007,0.006190894036402963,32
-46625.0,-0.5014698773910595,0.009778310772517184,53
-46375.0,-0.47909951940219386,0.009691006537561817,55
-46125.0,0.24604752718573053,0.007246228675706698,43
-45875.0,-0.07181304607679806,0.008231052974450722,51
-45625.0,0.5168323447449072,0.006500774943048302,42
-45375.0,-0.47142773236248914,0.009661245896536708,65
-45125.0,-0.1739131188376586,0.008574962935125031,60
-44875.0,0.1836461748810958,0.007429795559918833,54
-44625.0,0.09714753085916605,0.007691965390320496,58
-44375.0,-0.3533539409728359,0.009214569795951963,72
-44125.0,-0.3017388013671276,0.009025852776131462,73
-43875.0,0.3986914721396104,0.006816083193377288,57
-43625.0,0.03925360508587694,0.007872584894376741,68
-43375.0,-0.2565445672956397,0.008863788480531785,79
-43125.0,0.2677295604744945,0.007183513821370363,66
-42875.0,0.3412527075447045,0.0069748627262030795,66
-42625.0,0.33813569042346003,0.006983584218388715,68
-42375.0,-0.4002190255548346,0.009389335135726899,94
-42125.0,0.19730591714435164,0.007389218992157719,76
-41875.0,0.5771754794891173,0.006345395015287768,67
-41625.0,0.19859464016986017,0.007385402270407222,80
-41375.0,0.05149770255736996,0.007834034998932567,87
-41125.0,0.0,0.007997456359206501,91
-40875.0,0.6782774017191642,0.006093342617971073,71
-40625.0,0.34671233707575233,0.006959612784200706,83
-40375.0,0.526698496644439,0.006475112448868043,79
-40125.0,0.5510489201610671,0.006412208158479963,80
-39875.0,0.6689786945914946,0.006116100533864854,78
-39625.0,0.8881671059395657,0.005601589355782213,73
-39375.0,0.7443523205602247,0.005934049404100996,79
-39125.0,0.28494081377983704,0.007134117284017511,97
-38875.0,0.6083958803274605,0.0062664678311971115,87
-38625.0,0.7180523640910863,0.005996948199655505,85
-38375.0,0.9837504629553866,0.00539099653016674,78
-38125.0,0.971708649483384,0.005417085338519751,80
-37875.0,0.9611029820128856,0.005440167254625823,82
-37625.0,0.6449981220726038,0.006175184283505576,95
-37375.0,0.6184646810653067,0.006241223209554585,98
-37125.0,0.6952137742949294,0.006052109423866471,97
-36875.0,0.6706381793161125,0.0061120328426756635,100
-36625.0,0.4620452548751022,0.006645141367586588,111
-36375.0,0.902409166659611,0.005569696794842559,95
-36125.0,1.291818792694361,0.004764645992490822,83
-35875.0,1.6651726649705445,0.00410227928650835,73
-35625.0,0.5853053803137236,0.006324746876705101,115
-35375.0,1.0387327913443798,0.005273463755515632,98
-35125.0,0.9697743495795361,0.005421287787514981,103
-34875.0,1.3347113895417095,0.004683413677350157,91
-34625.0,1.419093862230719,0.004527625666033714,90
-34375.0,0.6976527459241133,0.006046194546151016,123
-34125.0,1.0349609743918506,0.005281444061335152,110
-33875.0,1.59517813010447,0.0042190251796317725,90
-33625.0,1.4181523323046417,0.004529335016718305,99
-33375.0,1.3570303642188595,0.004641694112783446,104
-33125.0,1.5681238620115892,0.004265034925336121,98
-32875.0,1.9870974474435847,0.0036055725179876268,85
-32625.0,1.597448976370499,0.004215185926602726,102
-32375.0,1.8410554872541542,0.0038229789120321797,95
-32125.0,1.9348713065514715,0.003681861402500984,94
-31875.0,1.7753741185113725,0.003924983372651253,103
-31625.0,2.2661839003494766,0.00322390262327362,87
-31375.0,1.6848064865711443,0.004070115549420544,113
-31125.0,2.0122124657452733,0.003569450856801737,102
-30875.0,2.4819999416870075,0.0029566896331820304,87
-30625.0,2.2846768260260006,0.003200089126384686,97
-30375.0,2.001087358348828,0.0035854066738196435,112
-30125.0,1.8843088931775682,0.003757257521301228,121
-29875.0,2.2217254472289483,0.003281879784782101,109
-29625.0,2.5903800868111677,0.0028309711755221986,97
-29375.0,2.016403769604114,0.003563458049857083,126
-29125.0,2.2172392815448134,0.003287787684901063,120
-28875.0,2.4468726895755495,0.0029986226496374006,113
-28625.0,2.8071012766368177,0.002595384299777227,101
-28375.0,2.814666842306048,0.002587524179767069,104
-28125.0,2.7783875492336474,0.0026254338452702604,109
-27875.0,2.836612622176524,0.002564858388553216,110
-27625.0,2.9404342702699022,0.002460292767941904,109
-27375.0,3.1146465031018007,0.002294321833564501,105
-27125.0,2.9468748301481167,0.0024539483117416803,116
-26875.0,2.8811108855887753,0.0025195077996259174,123
-26625.0,3.1505497149028923,0.0022615341785217884,114
-26375.0,3.482928452461792,0.001979392892857695,103
-26125.0,3.2865578438469907,0.002141521797110054,115
-25875.0,3.4079232929347167,0.002039817483898367,113
-25625.0,3.5066455873839217,0.001960661256965619,112
-25375.0,3.915069549906155,0.0016645277000894776,98
-25125.0,3.8892900509598256,0.0016818201391141992,102
-24875.0,4.036271769190304,0.0015855803605980623,99
-24625.0,4.082087846412485,0.0015567222256855104,100
-24375.0,4.835734920383249,0.0011507793922355268,76
-24125.0,4.481191850732582,0.001326545964605677,90
-23875.0,4.602379551225912,0.0012636362084978532,88
-23625.0,4.811226287086821,0.001162142342390731,83
-23375.0,4.754430755443739,0.0011889076247834625,87
-23125.0,4.841411033174516,0.0011481636580578962,86
-22875.0,5.446317079401968,0.0009009119638600161,69
-22625.0,5.193336860448984,0.000997078296702748,78
-22375.0,5.40857395618864,0.0009146477860147948,73
-22125.0,5.783795688036971,0.0007869067236696271,64
-21875.0,6.298151953809498,0.0006402765902666181,53
-21625.0,5.829821948993125,0.0007725196386715795,65
-21375.0,6.623521282811808,0.0005619748719665281,48
-21125.0,6.5063438270099,0.0005890048977501685,51
-20875.0,7.337325263832781,0.00042211910672257944,37
-20625.0,6.715008535731251,0.0005417362065652145,48
-20375.0,7.455795338718087,0.0004025389790789677,36
-20125.0,7.406863551373821,0.0004105136055819729,37
-19875.0,7.56099530085384,0.0003859147321690844,35
-19625.0,7.796065467115959,0.0003512067105109082,32
-19375.0,8.854204420362525,0.0002297883702622617,21
-19125.0,9.696833396874112,0.00016391404664387076,15
-18875.0,9.534992680475664,0.000174901926753809,16
-18625.0,9.69082745025204,0.00016430919953083696,15
-18375.0,10.038266394549758,0.00014294486772483376,13
-18125.0,9.212625080972867,0.00019903189724742587,18
-17875.0,10.92315184550878,0.00010025345122328078,9
-17625.0,11.911550166990924,6.745392995050551e-05,6
-17375.0,11.166392865166188,9.093857308125253e-05,8
-17125.0,12.306491265359416,5.7576232879050685e-05,5
-16875.0,13.543689354244332,3.506163220034691e-05,3
-16625.0,11.7729943696324,7.13068896974183e-05,6
-16375.0,16.19567075353942,1.2108494988901938e-05,1
-16125.0,16.14421575189725,1.2360871825139717e-05,1
-15875.0,14.358894014549698,2.528687496668458e-05,2
-15625.0,16.026492546034433,1.2958243417071991e-05,1
-15375.0,15.960136799341665,1.3307591777069144e-05,1
-15125.0,13.14841832146558,4.108218994340453e-05,3
-14875.0,,0.0,0
-14625.0,,0.0,0
-14375.0,,0.0,0
-14125.0,,0.0,0
-13875.0,,0.0,0
-13625.0,,0.0,0
-13375.0,,0.0,0
-13125.0,,0.0,0
-12875.0,,0.0,0
-12625.0,,0.0,0
-12375.0,,0.0,0
-12125.0,,0.0,0
-11875.0,,0.0,0
-11625.0,,0.0,0
-11375.0,,0.0,0
-11125.0,,0.0,0
-10875.0,,0.0,0
-10625.0,,0.0,0
-10375.0,,0.0,0
-10125.0,,0.0,0
-9875.0,,0.0,0
-9625.0,,0.0,0
-9375.0,,0.0,0
-9125.0,,0.0,0
-8875.0,,0.0,0
-8625.0,,0.0,0
-8375.0,,0.0,0
-8125.0,,0.0,0
-7875.0,,0.0,0
-7625.0,,0.0,0
-7375.0,,0.0,0
-7125.0,,0.0,0
-6875.0,,0.0,0
-6625.0,,0.0,0
-6375.0,,0.0,0
-6125.0,,0.0,0
-5875.0,,0.0,0
-5625.0,,0.0,0
-5375.0,,0.0,0
-5125.0,,0.0,0
-4875.0,,0.0,0
-4625.0,,0.0,0
-4375.0,,0.0,0
-4125.0,,0.0,0
-3875.0,,0.0,0
-3625.0,,0.0,0
-3375.0,,0.0,0
-3125.0,,0.0,0
-2875.0,,0.0,0
-2625.0,,0.0,0
-2375.0,,0.0,0
-2125.0,,0.0,0
-1875.0,,0.0,0
-1625.0,,0.0,0
-1375.0,,0.0,0
-1125.0,,0.0,0
-875.0,,0.0,0
-625.0,,0.0,0
-375.0,,0.0,0
-125.0,,0.0,0
125.0,,0.0,0
375.0,,0.0,0
625.0,,0.0,0
875.0,,0.0,0
1125.0,,0.0,0
1375.0,,0.0,0
1625.0,,0.0,0
1875.0,,0.0,0
2125.0,,0.0,0
2375.0,,0.0,0
2625.0,,0.0,0
2875.0,,0.0,0
3125.0,,0.0,0
3375.0,,0.0,0
3625.0,,0.0,0
3875.0,,0.0,0
4125.0,,0.0,0
4375.0,,0.0,0
4625.0,,0.0,0
4875.0,,0.0,0
5125.0,,0.0,0
5375.0,,0.0,0
5625.0,,0.0,0
5875.0,,0.0,0
6125.0,,0.0,0
6375.0,,0.0,0
6625.0,,0.0,0
6875.0,,0.0,0
7125.0,,0.0,0
7375.0,,0.0,0
7625.0,,0.0,0
7875.0,,0.0,0
8125.0,,0.0,0
8375.0,,0.0,0
8625.0,,0.0,0
8875.0,,0.0,0
9125.0,,0.0,0
9375.0,,0.0,0
9625.0,,0.0,0
9875.0,,0.0,0
10125.0,,0.0,0
10375.0,,0.0,0
10625.0,,0.0,0
10875.0,,0.0,0
11125.0,,0.0,0
11375.0,,0.0,0
11625.0,,0.0,0
11875.0,,0.0,0
12125.0,,0.0,0
12375.0,,0.0,0
12625.0,,0.0,0
12875.0,,0.0,0
13125.0,,0.0,0
13375.0,,0.0,0
13625.0,,0.0,0
13875.0,,0.0,0
14125.0,,0.0,0
14375.0,,0.0,0
14625.0,,0.0,0
14875.0,,0.0,0
15125.0,,0.0,0
15375.0,,0.0,0
15625.0,,0.0,0
15875.0,,0.0,0
16125.0,,0.0,0
16375.0,,0.0,0
16625.0,,0.0,0
16875.0,,0.0,0
17125.0,,0.0,0
17375.0,,0.0,0
17625.0,,0.0,0
17875.0,,0.0,0
18125.0,,0.0,0
18375.0,,0.0,0
18625.0,,0.0,0
18875.0,,0.0,0
19125.0,,0.0,0
19375.0,,0.0,0
19625.0,,0.0,0
19875.0,,0.0,0
